RecID,idtruth
A944634,1
B943052,1
B890273,2
C627608,2
C627609,2
B986579,3
C627610,3
C627611,3
C627612,3
A755471,4
A912696,4
B773835,4
B928031,4
B958535,4
C627613,4
A813025,5
C627614,5
A824917,6
A875214,6
B889399,6
B913514,6
B994234,6
C627615,6
A914099,7
B821101,7
B877530,7
B894387,7
C627616,7
C627617,7
B873920,8
B900093,8
B994615,8
C627618,8
A812219,9
B762881,9
C627619,9
C627620,9
A963930,10
C627621,11
C627622,11
A776838,12
A844925,12
A770538,13
A816319,13
A882820,13
B992622,13
C627623,13
B856715,14
C627624,14
C627625,14
A869762,15
B797844,15
B977902,15
C627626,15
C627627,15
B790733,16
C627628,16
C627629,16
A819955,17
A975276,17
B844379,17
B853063,17
C627630,17
B800772,18
B844796,18
B862185,18
B885638,18
C627631,18
C627632,18
B872828,19
C627633,19
C627634,19
A830349,20
A956296,20
A956423,20
A985464,20
C627635,20
A780828,21
A887611,21
A970774,21
B792640,21
C627636,21
C627637,21
C627638,22
C627639,22
A905248,23
A950657,23
B904733,23
C627640,23
A926782,24
A867783,25
A921659,25
A799281,26
B915593,26
C627641,26
A864729,27
A926684,28
B844990,28
C627642,28
A986935,29
B939386,29
C627643,29
C627644,29
C627645,29
C627646,29
B832851,30
C627647,30
C627648,30
A767794,31
B882282,31
C627649,31
A920554,32
A934767,32
B959992,32
C627650,32
A934513,33
B852994,33
C627651,33
A960838,34
C627652,34
A948701,35
C627653,35
C627654,35
C627655,35
C627656,35
B845176,36
B973720,36
C627657,36
C627658,36
C627659,36
A974515,37
B848867,37
C627660,37
C627661,37
C627662,37
B918359,38
A915661,39
A922259,39
A992523,39
B794750,39
C627663,39
A750205,40
A942770,40
B815756,40
A814320,41
A824044,41
A935026,41
B807450,41
C627664,41
A793513,42
A938666,42
B789606,42
C627665,42
A957249,43
B755349,43
B768015,43
C627666,43
C627667,43
B822625,44
C627668,44
C627669,44
C627670,44
B783654,45
B906251,45
B942846,45
C627671,45
B815789,46
B849577,46
B860950,46
C627672,46
C627673,46
B986534,47
B977094,48
C627674,48
C627675,48
A910312,49
A916418,49
C627676,49
C627677,49
C627678,49
A895206,50
B801513,50
B907058,50
B961796,50
C627679,50
A907513,51
B971472,51
C627680,51
A877911,52
A923095,52
B843644,52
B880545,52
C627681,52
C627682,52
B793855,53
C627683,53
C627684,53
C627685,54
C627686,54
A939149,55
C627687,56
A784620,57
